tag,frequency
'rock',9
'alternative',5
'classic rock',4
'alternative rock',3
'indie',2
'electronic',2
'80s',2
'60s',2
'british',2
'Progressive rock',2
'pop',1
'new wave',1
'thrash metal',1
'heavy metal',1
'hard rock',1
'blues',1
'britpop',1
'electronica',1
'glam rock',1
'post-punk',1
'chillout',1
'seen live',1
'trip-hop',1
'downtempo',1
'psychedelic',1
'metal',1
'Psychedelic Rock',1
